2025-09-28 16:09:27 | INFO | Logging to file: logs/project_log.log
2025-09-28 16:09:27 | INFO | Log sanitization enabled, personal info removed
2025-09-28 16:09:41 | INFO | Logging to file: logs/project_log.log
2025-09-28 16:09:41 | INFO | Log sanitization enabled, personal info removed
2025-09-28 16:12:40 | INFO | Logging to file: logs/project_log.log
2025-09-28 16:12:40 | INFO | Log sanitization enabled, personal info removed
2025-09-28 16:12:40 | INFO | Starting Producer to run continuously.
2025-09-28 16:12:40 | INFO | Use Ctrl+C to stop.
2025-09-28 16:12:40 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-28 16:12:40 | INFO | BUZZ_TOPIC: buzzline
2025-09-28 16:12:40 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-28 16:12:40 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-webb/data
2025-09-28 16:12:40 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/buzzline-05-webb/data/project_live.json
2025-09-28 16:12:40 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-webb/data
2025-09-28 16:12:40 | INFO | SQLITE_PATH: C:/Users/USER/Documents/buzzline-05-webb/data/buzz.sqlite
2025-09-28 16:12:40 | INFO | Kafka broker address: localhost:9092
2025-09-28 16:12:40 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'ieOMVdv6S1CLudWlH7ql2A', 'controller_id': 1}
2025-09-28 16:12:42 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-28 16:12:42 | INFO | {'message': 'I just tried an app! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-28 16:12:42', 'category': 'other', 'sentiment': 0.72, 'keyword_mentioned': 'other', 'message_length': 34}
